FID,UNSDLEA,SUM_Total,SUM_White,SUM_Black,SUM_Asian_,SUM_Hispan,SUM_Other,GEOID,CITY,NAME,City_Pop,City_Pop_W,City_Pop_B,City_Pop_H,City_Pop_A,Seg_Black,Seg_Hisp,Seg_Asian
51,44430,40722,19077,8998,855,11158,634,4844430,Houston,Waller Independent School District,5244531,1961619,913175,1910363,370899,6.42014E-05,0.001942178,0.00370996
22,21150,93835,35154,16508,1474,39314,1385,4821150,Houston,Goose Creek Consolidated Independent School District,5244531,1961619,913175,1910363,370899,7.83376E-05,0.001329212,0.006973392
49,41880,6086,1415,699,47,3865,60,4841880,Dallas,Sunnyvale Independent School District,3254564,1364980,546978,1068180,211312,0.000120643,0.001290829,0.000407113
6,13590,30296,8044,3053,386,18462,351,4813590,Houston,Channelview Independent School District,5244531,1961619,913175,1910363,370899,0.000378707,0.002781719,0.00152999
26,23820,9916,7944,262,93,1471,146,4823820,Houston,Huffman Independent School District,5244531,1961619,913175,1910363,370899,0.001881403,0.001639853,0.001899487
11,15750,39077,23719,6033,654,7941,730,4815750,Houston,Crosby Independent School District,5244531,1961619,913175,1910363,370899,0.002742461,0.003967371,0.00516413
39,34320,245275,58570,21835,8905,153327,2638,4834320,Houston,Pasadena Independent School District,5244531,1961619,913175,1910363,370899,0.002973455,0.025201336,0.002924379
46,39990,39124,8391,9456,947,19849,481,4839990,Houston,Sheldon Independent School District,5244531,1961619,913175,1910363,370899,0.003038745,0.003056291,0.000862167
8,14850,16659,12035,940,292,3013,379,4814850,Dallas,Community Independent School District,3254564,1364980,546978,1068180,211312,0.003549223,0.002998147,0.003717568
40,34440,128278,59422,20362,14482,31217,2795,4834440,Houston,Pearland Independent School District,5244531,1961619,913175,1910363,370899,0.003997149,0.006975726,0.004376673
4,13050,169816,59464,19319,18487,68932,3614,4813050,Dallas,Carrollton-Farmers Branch Independent School District,3254564,1364980,546978,1068180,211312,0.004122245,0.010484093,0.021961371
10,15210,48667,22712,4438,13251,7017,1249,4815210,Dallas,Coppell Independent School District,3254564,1364980,546978,1068180,211312,0.0042627,0.005034977,0.023034576
21,20340,280737,118400,42094,24444,89863,5936,4820340,Dallas,Garland Independent School District,3254564,1364980,546978,1068180,211312,0.004891903,0.001306995,0.014468047
14,16530,41908,22480,1082,797,17059,490,4816530,Houston,Deer Park Independent School District,5244531,1961619,913175,1910363,370899,0.005137522,0.001265103,0.004655544
18,19560,35851,24157,3911,381,6659,743,4819560,Dallas,Forney Independent School District,3254564,1364980,546978,1068180,211312,0.00527375,0.005731864,0.007947337
20,20250,73863,10420,14487,1057,47213,686,4820250,Houston,Galena Park Independent School District,5244531,1961619,913175,1910363,370899,0.005276245,0.009701106,0.001231053
23,21420,128466,33634,19491,5274,67873,2194,4821420,Dallas,Grand Prairie Independent School District,3254564,1364980,546978,1068180,211312,0.00549666,0.019450067,0.000158851
43,37020,209990,96663,32352,16389,60431,4155,4837020,Dallas,Richardson Independent School District,3254564,1364980,546978,1068180,211312,0.00583481,0.007121312,0.00337094
38,32400,36701,26057,936,469,8555,684,4832400,Houston,New Caney Independent School District,5244531,1961619,913175,1910363,370899,0.00612921,0.004402604,0.00600946
31,26190,58931,33233,4033,4285,16317,1063,4826190,Houston,La Porte Independent School District,5244531,1961619,913175,1910363,370899,0.00626258,0.004200155,0.002694304
28,24420,170082,56710,14620,13562,81841,3349,4824420,Dallas,Irving Independent School District,3254564,1364980,546978,1068180,211312,0.007408858,0.01753542,0.011316792
37,30390,162956,66389,35144,5943,51989,3491,4830390,Dallas,Mesquite Independent School District,3254564,1364980,546978,1068180,211312,0.007806935,1.66467E-05,0.010256526
24,23250,32928,26354,280,813,5064,417,4823250,Dallas,Highland Park Independent School District,3254564,1364980,546978,1068180,211312,0.00939767,0.007283234,0.007729926
15,16620,62842,18040,5608,1360,36821,1013,4816620,Austin,Del Valle Independent School District,1432723,739113,127318,465477,70060,0.009819777,0.027348083,0.002497851
36,28890,37818,12786,4728,1736,17732,836,4828890,Austin,Manor Independent School District,1432723,739113,127318,465477,70060,0.009918124,0.010397571,0.003739824
52,46530,73988,44867,7060,10352,9565,2144,4846530,Dallas,Wylie Independent School District,3254564,1364980,546978,1068180,211312,0.009981398,0.011957798,0.008059547
27,23910,155043,91894,21366,4295,34650,2838,4823910,Houston,Humble Independent School District,5244531,1961619,913175,1910363,370899,0.011724256,0.014354042,0.017633013
30,25740,210861,108673,28055,16592,53352,4189,4825740,Houston,Klein Independent School District,5244531,1961619,913175,1910363,370899,0.012338584,0.013735985,0.005332548
47,41100,183661,76749,10333,10058,83844,2677,4841100,Houston,Spring Branch Independent School District,5244531,1961619,913175,1910363,370899,0.013904935,0.002381853,0.00600372
50,42960,97001,67902,5196,3858,18262,1783,4842960,Houston,Tomball Independent School District,5244531,1961619,913175,1910363,370899,0.014462624,0.012527922,0.012106766
