Overall Rank*,City,Total Score,'Socioeconomic Diversity' Rank,'Cultural Diversity' Rank,'Economic Diversity' Rank,'Household Diversity' Rank,'Religious Diversity' Rank
4,"Silver Spring, MD",71.11,1,4,177,324,308
6,"Gaithersburg, MD",70.95,2,2,368,283,308
21,"Alexandria, VA",70.16,3,37,297,435,155
22,"New Rochelle, NY",70.14,4,50,263,247,180
8,"Germantown, MD",70.77,5,3,264,361,308
19,"San Diego, CA",70.24,6,17,191,173,302
171,"Seattle, WA",65.57,7,138,445,442,374
144,"Hoover, AL",66.26,8,259,425,458,32
50,"Plano, TX",68.56,9,53,452,449,213
15,"Aurora, IL",70.38,10,48,334,338,106
180,"Overland Park, KS",65.4,11,307,465,422,49
38,"Austin, TX",69.16,12,73,157,328,253
13,"Stamford, CT",70.53,13,25,365,275,162
210,"Lenexa, KS",64.95,14,358,424,433,49
16,"San Jose, CA",70.36,15,8,322,303,297
14,"Sandy Springs, GA",70.53,16,84,477,421,2
413,"Portsmouth, NH",60.64,17,404,399,418,429
32,"Washington, DC",69.45,18,106,417,455,17
23,"Roswell, GA",69.99,19,121,440,417,2
236,"Franklin, TN",64.56,20,325,447,475,77
329,"Hilton Head Island, SC",62.83,21,256,339,498,389
389,"South Burlington, VT",61.23,22,384,476,370,401
129,"Cary, NC",66.52,23,125,473,483,189
189,"Edmond, OK",65.23,24,351,182,448,68
65,"San Francisco, CA",68.22,25,11,411,412,411
290,"Bentonville, AR",63.76,26,247,494,445,269
20,"Norwalk, CT",70.24,27,51,179,212,162
331,"West Des Moines, IA",62.81,28,376,478,428,206
182,"West Hartford, CT",65.38,29,209,480,385,218
36,"Denver, CO",69.27,30,85,293,354,126
330,"Scottsdale, AZ",62.82,31,313,457,432,340
76,"Raleigh, NC",67.93,32,128,288,261,208
35,"Oakland, CA",69.34,33,7,116,152,432
33,"Rockville, MD",69.41,34,9,415,365,308
160,"Olathe, KS",65.94,35,280,306,463,49
286,"Mount Pleasant, SC",63.81,36,424,349,443,22
281,"Pike Creek Valley, DE",63.91,36,308,468,380,228
235,"Madison, AL",64.56,38,252,399,461,236
67,"Durham, NC",68.16,39,89,459,234,209
207,"Beaverton, OR",64.99,40,113,352,257,455
1,"Jersey City, NJ",71.51,41,1,385,113,257
106,"Chandler, AZ",66.98,42,100,329,348,340
239,"Plymouth, MN",64.52,43,320,485,466,44
40,"Boston, MA",69.06,44,19,474,403,251
384,"Fishers, IN",61.33,45,374,472,494,290
458,"Montpelier, VT",58.96,46,456,456,320,434
120,"Bellevue, WA",66.66,47,46,493,444,374
202,"Hillsboro, OR",65.02,48,91,426,386,455
112,"Quincy, MA",66.82,49,105,407,332,333
368,"Jackson, WY",62.01,50,165,479,357,491
66,"Columbia, MD",68.19,51,64,434,351,283
204,"Rochester, MN",65.01,52,282,499,379,14
59,"Frederick, MD",68.39,53,86,158,126,301
320,"College, AK",63.01,54,222,67,287,477
265,"Portland, OR",64.07,55,188,313,284,441
224,"Madison, WI",64.67,56,260,401,419,243
12,"Danbury, CT",70.54,57,40,140,151,162
466,"Dover, NH",58.47,58,427,319,218,489
238,"Shawnee, KS",64.53,59,373,300,441,49
139,"Bloomington, MN",66.34,60,272,350,368,44
484,"Lebanon, NH",57.3,61,353,498,416,499
211,"Charleston, SC",64.94,62,326,233,339,148
28,"Charlotte, NC",69.67,63,80,342,194,91
308,"Fort Collins, CO",63.29,64,348,228,333,329
407,"Centennial, CO",60.82,65,344,393,488,436
214,"Cambridge, MA",64.91,66,78,501,481,281
294,"Newport, RI",63.65,67,290,325,414,327
220,"Woodbury, MN",64.76,68,294,453,487,54
3,"New York, NY",71.41,69,6,245,89,204
71,"Minneapolis, MN",68.08,70,132,432,437,44
30,"Anaheim, CA",69.56,71,44,162,148,278
54,"Honolulu, HI",68.43,72,68,71,185,349
64,"Santa Fe, NM",68.23,73,97,31,250,298
292,"Westminster, CO",63.76,74,204,172,326,447
412,"Essex Junction, VT",60.66,75,408,428,373,401
321,"Lee's Summit, MO",62.95,76,401,370,467,103
7,"Los Angeles, CA",70.87,77,20,64,75,211
161,"Salt Lake City, UT",65.93,78,134,269,321,390
43,"Renton, WA",68.94,79,21,223,183,374
376,"Ann Arbor, MI",61.61,80,167,500,465,437
299,"Newark, DE",63.52,81,243,490,480,228
17,"Yonkers, NY",70.35,82,30,265,73,180
165,"Naperville, IL",65.75,83,175,481,493,78
243,"Nashua, NH",64.44,84,228,358,198,368
24,"Johns Creek, GA",69.89,85,41,487,501,2
278,"Gilbert, AZ",63.93,86,220,324,468,340
9,"Long Beach, CA",70.76,87,23,69,54,211
388,"Carmel, IN",61.27,88,349,489,497,290
338,"Maple Grove, MN",62.68,89,392,475,492,44
406,"Sandy, UT",60.83,90,395,273,477,390
401,"Arvada, CO",60.97,91,377,153,378,447
18,"Clifton, NJ",70.29,92,24,234,242,169
257,"Arlington, VA",64.18,93,81,471,459,453
41,"St. Paul, MN",69.05,94,76,378,239,131
186,"Middletown, DE",65.32,95,194,450,407,228
93,"Atlanta, GA",67.25,96,195,409,471,15
29,"Elgin, IL",69.64,97,67,284,290,101
385,"O'Fallon, MO",61.28,98,454,372,454,142
149,"Rogers, AR",66.19,99,148,390,424,269
11,"Chicago, IL",70.64,100,36,255,252,76
146,"Anchorage, AK",66.21,101,122,33,249,414
131,"Kailua, HI",66.51,102,129,60,390,349
429,"Livonia, MI",60.22,103,470,408,440,247
409,"Burlington, VT",60.74,104,356,461,482,401
56,"Nashville, TN",68.43,105,147,235,202,64
267,"Lakewood, CO",64.06,106,227,101,251,417
177,"Lexington, KY",65.52,107,281,302,209,129
481,"South Portland, ME",57.62,108,464,387,139,483
312,"Juneau, AK",63.22,109,214,4,321,474
174,"Huntsville, AL",65.55,110,230,221,277,236
170,"Virginia Beach, VA",65.58,111,177,48,239,386
